MNG dose (mcg by ml),cell N,nucleus N,Area (px),Perimeter (px),Circularity,Height (px),Width (px),Gray Value (min),Gray Value (max),Gray Value (Mean),Gray Value (Median),Integrated Density
3,13,1,1142,131.689863,0.827506,38,40,16,75,22.970228,22,26232
3,13,2,1278,142.325902,0.792817,42,40,18,52,24.27543,23,31024
3,14,1,584,91.890873,0.869116,26,28,17,83,27.214041,24,15893
3,14,2,531,88.133514,0.859057,26,27,15,89,25.969868,23,13790
3,15,1,895,113.154329,0.878396,34,34,18,113,26.683799,25,23882
3,15,2,804,106.961941,0.883095,34,29,15,58,23.791045,24,19128
3,16,1,856,112.669048,0.847373,32,34,18,69,24.221963,23,20734
3,16,2,951,116.669048,0.877969,34,34,18,65,25.018927,24,23793
3,17,1,876,119.740115,0.767776,38,33,12,87,20.192922,19,17689
3,17,2,866,113.547727,0.844055,32,34,14,96,20.26097,18,17546
3,18,1,1958,174.610173,0.807018,52,52,24,76,42.620531,43,83451
3,18,2,1772,164.367532,0.824217,48,50,26,87,44.517494,45,78885
3,19,1,926,116.083261,0.863538,34,34,20,88,34.336933,33,31796
3,19,2,828,108.376154,0.885876,32,32,22,96,32.67029,31,27051
3,20,1,573,91.305087,0.863723,26,28,15,78,24.584642,23,14087
3,20,2,545,87.59798,0.89252,26,26,15,106,24.880734,22,13560
3,21,1,950,117.104076,0.870541,37,34,12,105,19.405263,17,18435
3,21,2,968,116.861436,0.890723,36,34,14,76,18.597107,17,18002
3,22,1,663,98.426407,0.860003,28,30,19,67,26.3454,26,17467
3,22,2,780,105.547727,0.879846,30,32,20,61,28.130769,27,21942
3,23,1,844,112.133514,0.843493,35,30,15,101,26.438389,24,22314
3,23,2,574,92.526912,0.84253,25,28,18,48,23.658537,22,13580
3,24,1,556,89.941125,0.86371,26,26,16,54,23.498201,22,13065
3,24,2,562,88.476659,0.902171,26,26,17,77,23.855872,22,13407
3,25,1,660,97.547727,0.871605,28,30,17,96,25.94697,24,17125
3,25,2,628,94.669048,0.880549,27,30,16,96,26.371019,23,16561
3,26,1,877,112.275649,0.874255,33,35,17,72,24.670468,24,21636
3,26,2,721,99.84062,0.90893,30,29,10,34,22.313454,22,16088
3,27,1,715,101.062446,0.879703,28,30,16,88,24.020979,22,17175
3,27,2,821,108.568542,0.875276,36,30,16,90,25.672351,23,21077
