MNG dose (mcg by ml),cell N,nucleus N,Area (px),Perimeter (px),Circularity,Height (px),Width (px),Gray Value (min),Gray Value (max),Gray Value (Mean),Gray Value (Median),Integrated Density
6,22,1,1173,132.760931,0.83631,38,42,18,94,28.236999,26,33122
6,22,2,1022,122.618795,0.854175,34,38,20,92,29.412916,27,30060
6,23,1,650,99.012193,0.833193,28,30,22,84,28.509231,26,18531
6,23,2,653,99.890873,0.822378,30,28,23,63,30.188361,29,19713
6,24,1,837,108.669048,0.890684,34,30,22,68,34.409797,34,28801
6,24,2,843,111.790368,0.847674,34,32,22,76,34.266904,33,28887
6,25,1,752,103.790368,0.87723,28,34,21,80,32.324468,29,24308
6,25,2,734,100.669048,0.910152,28,32,18,89,28.752044,27,21104
6,26,1,1089,127.932504,0.836134,37,40,18,84,33.985308,32,37010
6,26,2,1074,128.325902,0.819569,37,38,21,73,31.014898,29,33310
6,27,1,978,120.669048,0.844028,36,34,24,87,33.374233,31,32640
6,27,2,944,116.961941,0.867147,34,34,23,113,33.263771,30,31401
6,28,1,960,116.568542,0.887807,34,36,30,115,46.844792,47,44971
6,28,2,914,115.740115,0.857409,35,34,25,86,47.274617,49,43209
6,29,1,1003,119.497475,0.88266,39,31,24,65,37.422732,36,37535
6,29,2,927,117.305087,0.846556,36,30,20,94,36.90507,36,34211
6,30,1,1044,120.325902,0.906133,32,39,21,73,30.045977,29,31368
6,30,2,898,112.325902,0.894389,32,35,16,91,29.547884,28,26534
6,31,1,853,114.426407,0.818665,32,34,23,67,31.478312,30,26851
6,31,2,967,120.083261,0.842697,30,40,25,121,36.015512,34,34827
6,32,1,1447,149.104076,0.817898,39,48,19,72,30.645473,30,44344
6,32,2,1419,145.104076,0.846902,39,46,19,60,29.765328,29,42237
6,33,1,1510,154.367532,0.796297,44,49,18,114,34.060927,31,51432
6,33,2,1729,165.053824,0.797542,44,52,20,81,36.611914,37,63302
6,34,1,1694,160.367532,0.827733,48,48,20,73,31.534238,31,53419
6,34,2,2156,179.831998,0.83777,52,52,25,106,41.613173,41,89718
6,35,1,1130,129.154329,0.851276,38,38,17,82,28.072566,26,31722
6,35,2,1154,132.083261,0.831228,36,40,21,85,28.277296,27,32632
6,36,1,749,106.7193,0.826429,32,30,19,62,28.479306,27,21331
6,36,2,710,103.012193,0.840797,30,30,16,80,27.866197,26,19785
6,37,1,925,117.154329,0.846905,38,32,20,112,31.292973,28,28946
6,37,2,924,113.740115,0.897541,35,33,19,56,27.790043,27,25678
6,38,1,933,119.305087,0.823709,34,34,20,85,28.528403,26,26617
6,38,2,943,117.84062,0.853358,32,36,21,94,29.225875,27,27560
6,39,1,777,105.547727,0.876462,30,32,18,88,32.315315,30,25109
6,39,2,1002,121.447222,0.853694,34,38,21,126,31.508982,29,31572
6,40,1,1119,127.790368,0.86108,36,38,27,93,40.535299,39,45359
6,40,2,1247,136.669048,0.83895,44,34,26,64,38.477145,38,47981
6,41,1,1434,148.376154,0.818523,44,40,24,81,31.646444,30,45381
6,41,2,1538,147.781746,0.884962,46,44,23,62,32.219116,29,49553
6,42,1,1337,143.39697,0.817074,40,44,21,95,34.534031,32,46172
6,42,2,1223,132.568542,0.874491,40,38,20,88,30.047424,28,36748
6,43,1,1594,158.811183,0.794211,44,48,27,103,41.167503,38,65621
6,43,2,1418,149.447222,0.79783,42,44,22,123,42.081805,40,59672
6,44,1,930,115.447222,0.876851,33,36,18,58,25.987097,25,24168
6,44,2,939,118.7193,0.837207,34,34,18,84,27.731629,25,26040
6,45,1,974,120.275649,0.846084,36,36,19,82,27.604723,26,26887
6,45,2,860,110.911688,0.878524,32,34,20,125,29.289535,27,25189
6,46,1,925,113.497475,0.902359,36,31,19,66,27.31027,25,25262
6,46,2,1003,122.961941,0.833622,37,32,18,93,29.084746,26,29172
6,47,1,834,111.012193,0.850422,32,32,26,95,36.864508,33,30745
6,47,2,805,113.012193,0.792055,30,35,25,69,33.475776,31,26948
6,48,1,1467,154.911688,0.768195,38,50,20,80,28.997955,27,42540
6,48,2,1359,146.911688,0.791255,40,44,21,63,29.80574,29,40506
6,49,1,1682,162.225397,0.803153,50,44,20,109,31.230678,30,52530
6,49,2,1428,149.740115,0.800316,40,46,18,84,28.423669,27,40589
6,50,1,876,112.961941,0.86268,34,32,19,90,28.159817,27,24668
6,50,2,837,111.890873,0.840129,34,30,20,69,26.664277,25,22318
6,51,1,766,106.133514,0.854542,30,32,20,61,26.08094,25,19978
6,51,2,812,108.961941,0.859441,32,32,17,67,26.862069,25,21812
6,52,1,657,96.961941,0.878158,28,30,20,85,28.484018,26,18714
6,52,2,640,96.083261,0.871153,27,31,21,70,29.41875,26,18828
6,53,1,1329,138.325902,0.872826,38,42,25,107,46.417607,46,61689
6,53,2,1527,152.367532,0.82654,46,46,26,86,43.261297,42,66060
6,54,1,872,112.861436,0.860271,32,36,21,90,31.417431,30,27396
6,54,2,612,93.941125,0.871465,26,28,19,54,25.267974,24,15464
6,55,1,884,112.325902,0.880445,33,34,20,47,24.401584,24,21571
6,55,2,1012,120.275649,0.879093,35,37,20,75,26.059289,24,26372
6,56,1,1122,130.133514,0.832577,38,36,16,93,28.50713,27,31985
6,56,2,1050,126.133514,0.829351,36,36,22,83,30.285714,27,31800
6,57,1,700,102.911688,0.830574,32,30,18,84,24.802857,22,17362
6,57,2,773,107.305087,0.843624,28,34,20,64,26.16947,25,20229
6,58,1,946,117.84062,0.856073,34,34,21,69,27.561311,26,26073
6,58,2,947,117.84062,0.856978,34,34,20,90,28.072862,26,26585
6,59,1,1018,119.497475,0.89586,36,34,13,80,23.001965,21,23416
6,59,2,902,115.012193,0.856897,34,32,16,66,21.827051,21,19688
6,60,1,645,96.769553,0.86555,26,30,17,74,26.063566,24,16811
6,60,2,738,102.376154,0.884848,31,30,19,83,27.897019,26,20588
6,61,1,708,100.669048,0.877912,28,32,20,78,27.590395,25,19534
6,61,2,726,100.426407,0.904588,30,29,19,109,26.404959,24,19170
6,62,1,769,107.012193,0.843859,30,32,21,62,29.836151,28,22944
6,62,2,842,114.133514,0.812261,34,32,22,86,29.984561,28,25247
6,63,1,1071,123.882251,0.876963,40,36,19,48,25.334267,24,27133
6,63,2,1130,127.882251,0.868296,40,38,15,49,24.374336,23,27543
6,64,1,2234,191.296465,0.767148,64,46,22,59,32.258281,32,72065
6,64,2,1733,163.204581,0.817605,54,38,22,65,34.901327,34,60484
6,65,1,1390,140.710678,0.882207,41,44,21,66,30.561151,28,42480
6,65,2,1040,122.225397,0.874823,32,42,22,66,27.753846,26,28864
6,66,1,1441,144.953319,0.861822,42,46,19,66,28.064539,26,40441
6,66,2,1535,159.104076,0.762001,44,48,19,67,30.403257,28,46669
6,67,1,1018,124.961941,0.819223,36,36,26,78,35.284872,33,35920
6,67,2,1104,131.59798,0.801088,36,38,27,84,37.985507,36,41936
6,68,1,1154,134.325902,0.803704,40,38,26,92,40.62305,39,46879
6,68,2,1304,139.447222,0.84269,39,42,28,72,38.095859,36,49677
6,69,1,1267,138.033009,0.835643,40,40,28,111,43.642463,41,55295
6,69,2,909,117.547727,0.826695,33,35,36,119,51.932893,49,47207
6,70,1,988,123.305087,0.816591,36,34,30,94,43.013158,41,42497
6,70,2,901,119.012193,0.799377,34,34,30,90,41.199778,39,37121
6,71,1,793,111.305087,0.804365,30,34,26,63,35.068096,34,27809
6,71,2,1357,139.539105,0.875786,39,46,32,86,45.263817,43,61423
6,72,1,762,106.133514,0.85008,30,32,30,97,41.80315,39,31854
6,72,2,821,111.59798,0.828401,32,32,30,87,42.125457,39,34585
6,73,1,1049,127.012193,0.817136,38,34,23,84,35.100095,33,36820
6,73,2,873,112.083261,0.873258,34,32,22,71,33.508591,32,29253
6,74,1,1855,171.003571,0.797156,52,48,28,101,44.777898,43,83063
6,74,2,2380,208.267027,0.689518,66,56,26,89,39.938655,38,95054
6,75,1,1259,137.154329,0.84104,44,36,24,69,37.432089,36,47127
6,75,2,1195,135.204581,0.821476,40,38,30,120,43.322176,41,51770
6,76,1,1149,130.7193,0.844988,40,34,28,94,42.713664,41,49078
6,76,2,1060,126.911688,0.827013,38,36,29,119,41.534906,39,44027
6,77,1,1548,151.790368,0.844291,44,42,31,90,46.978682,45,72723
6,77,2,1570,154.811183,0.823199,46,44,31,94,50.592994,49,79431
6,78,1,1126,132.083261,0.811059,36,40,32,86,43.064831,41,48491
6,78,2,1355,141.740115,0.847547,42,40,35,92,48.043542,46,65099
6,79,1,1010,123.204581,0.836137,36,36,21,68,29.246535,27,29539
6,79,2,998,122.426407,0.836739,34,36,21,56,30.285571,29,30225
6,80,1,1627,157.447222,0.82476,42,48,23,96,36.268593,34,59009
6,80,2,1954,175.296465,0.799076,46,56,22,105,39.305527,38,76803
6,81,1,1183,128.468037,0.90075,40,38,20,86,34.936602,33,41330
6,81,2,1436,142.175144,0.892723,42,43,22,84,35.463788,33,50926
6,82,1,942,115.790368,0.882909,32,36,21,91,35.657113,34,33589
6,82,2,840,111.154329,0.854351,33,34,21,84,34.755952,32,29195
6,83,1,892,118.133514,0.803209,36,32,16,109,34.642377,33,30901
6,83,2,940,116.376154,0.872187,38,30,17,86,36.157447,36,33988
6,84,1,668,98.769553,0.860479,27,30,17,58,25.085329,24,16757
6,84,2,621,93.355339,0.895412,26,28,16,58,23.1562,22,14380
6,85,1,924,114.7193,0.882285,32,34,19,71,32.093074,31,29654
6,85,2,1000,119.497475,0.88002,34,36,23,93,36.611,35,36611
6,86,1,810,111.305087,0.821608,28,36,24,98,33.911111,32,27468
6,86,2,850,113.740115,0.82566,36,32,18,84,33.034118,31,28079
6,87,1,1112,124.275649,0.904779,38,36,19,108,28.295863,25,31465
6,87,2,1225,138.426407,0.803356,38,40,20,80,26.804898,25,32836
6,88,1,1356,139.689863,0.873252,40,42,19,87,31.912979,31,43274
6,88,2,1282,142.033009,0.798582,40,42,20,65,29.637285,28,37995
6,89,1,1272,141.932504,0.793475,44,40,20,69,32.117925,29,40854
6,89,2,1123,128.568542,0.853729,34,42,20,117,32.129118,31,36081
6,90,1,1090,129.154329,0.821142,42,34,20,101,36.316514,36,39585
6,90,2,1131,127.689863,0.871685,42,34,14,95,35.573828,35,40234
6,91,1,833,111.890873,0.836114,30,34,20,90,33.142857,31,27608
6,91,2,821,108.376154,0.878386,34,30,19,87,33.717418,31,27682
6,92,1,778,106.426407,0.863159,30,32,21,85,29.570694,27,23006
6,92,2,770,107.254834,0.841137,34,29,19,106,29.909091,27,23030
6,93,1,1210,130.618795,0.891218,34,42,20,74,29.816529,29,36078
6,93,2,1465,154.225397,0.773991,44,46,17,102,34.939249,35,51186
6,94,1,859,113.547727,0.837233,32,34,19,104,35.954598,33,30885
6,94,2,804,108.083261,0.864866,32,32,20,104,34.590796,32,27811
6,95,1,1257,142.811183,0.774499,42,42,19,77,28.918854,28,36351
6,95,2,1231,135.689863,0.840181,42,38,20,85,30.88221,30,38016
6,96,1,1201,133.154329,0.851221,40,38,21,78,31.975021,31,38402
6,96,2,1139,131.254834,0.830812,38,37,22,68,32.786655,32,37344
6,97,1,1005,120.961941,0.863134,34,36,20,64,28.724378,27,28868
6,97,2,1070,124.568542,0.866517,38,36,18,63,28.802804,29,30819
6,98,1,1071,128.669048,0.812926,38,36,18,74,24.29972,23,26025
6,98,2,1056,127.890873,0.811325,36,36,18,67,23.977273,23,25320
6,99,1,1223,139.497475,0.789775,38,42,22,76,33.511038,32,40984
6,99,2,1187,135.497475,0.812453,36,42,22,81,34.686605,33,41173
6,100,1,1499,157.053824,0.763685,46,46,24,115,38.03469,35,57014
6,100,2,1372,143.204581,0.840718,46,36,21,120,37.655248,35,51663
